id,x,y,z,deadline,sf,gateways,windowlength,slotlength,slotnumber
1,5972,1848,0,735,12,1,981,14,730
3,5800,8777,0,587,12,1,981,14,590
4,20300,1376,0,274,12,2,981,14,265
5,18365,6454,0,163,12,2,981,14,161
6,22735,10525,0,971,12,2,981,14,977
7,15151,10468,0,241,12,2,981,14,245
8,500,787,0,95,12,1,981,14,105
10,16137,4004,0,234,12,2,981,14,235
11,13992,899,0,140,12,2,981,14,140
13,23443,7910,0,622,12,2,981,14,624
14,23003,6554,0,666,12,2,981,14,685
16,14187,784,0,239,12,2,981,14,243
17,16582,6115,0,18,12,2,981,14,19
19,18815,10741,0,83,12,2,981,14,91
20,5781,5223,0,559,12,1,981,14,563
21,20969,4006,0,369,12,2,981,14,366
22,20884,11278,0,690,12,2,981,14,713
23,83,9747,0,957,12,1,981,14,946
24,4788,7439,0,757,12,1,981,14,747
25,16323,10692,0,390,12,2,981,14,384
26,17428,8751,0,487,12,2,981,14,473
27,5051,9980,0,715,12,1,981,14,705
29,16390,10428,0,836,12,2,981,14,843
30,617,5606,0,396,12,1,981,14,408
32,5285,8123,0,175,12,1,981,14,172
33,21251,2590,0,214,12,2,981,14,217
34,20422,11789,0,507,12,2,981,14,485
36,8042,7908,0,819,12,1,981,14,811
37,7929,5270,0,929,12,1,981,14,923
38,2023,8464,0,21,12,1,981,14,27
39,15670,10561,0,841,12,2,981,14,853
40,16830,10304,0,253,12,2,981,14,255
41,1086,4445,0,239,12,1,981,14,236
42,4351,465,0,507,12,1,981,14,519
44,23105,2296,0,480,12,2,981,14,470
45,18959,2543,0,97,12,2,981,14,97
46,16974,1230,0,823,12,2,981,14,832
47,14936,10413,0,752,12,2,981,14,769
48,7901,2886,0,251,12,1,981,14,250
49,6809,679,0,939,12,1,981,14,930
52,19063,9714,0,429,12,2,981,14,414
53,15632,6403,0,591,12,2,981,14,566
54,18011,4333,0,813,12,2,981,14,828
56,8114,9597,0,311,12,1,981,14,309
57,23588,3844,0,282,12,2,981,14,274
58,1837,5196,0,880,12,1,981,14,873
62,6984,4815,0,302,12,1,981,14,299
63,533,8055,0,255,12,1,981,14,254
64,22439,7810,0,912,12,2,981,14,918
65,23075,5961,0,48,12,2,981,14,54
67,21104,6088,0,564,12,2,981,14,538
68,3549,37,0,375,12,1,981,14,384
69,6516,7931,0,249,12,1,981,14,248
70,18399,11139,0,791,12,2,981,14,810
71,20172,9988,0,779,12,2,981,14,794
73,22773,943,0,205,12,2,981,14,204
75,19571,8377,0,477,12,2,981,14,467
76,14865,11478,0,600,12,2,981,14,586
77,22718,10236,0,455,12,2,981,14,439
78,1087,12041,0,728,12,1,981,14,718
79,7050,7712,0,637,12,1,981,14,638
80,17317,532,0,40,12,2,981,14,46
81,6091,9054,0,788,12,1,981,14,783
83,15374,10795,0,572,12,2,981,14,545
86,15486,7244,0,307,12,2,981,14,310
89,62,3034,0,961,12,1,981,14,953
91,7068,8893,0,958,12,1,981,14,948
92,19942,3304,0,850,12,2,981,14,859
