id,x,y,z,deadline,sf,gateways,windowlength,slotlength,delay
1,16792,8220,0,60,12,2,141,14.9695,159.001
2,4679,1555,0,126,12,1,141,14.9695,943.780
3,16307,6037,0,32,12,2,141,14.9695,303.805
4,16452,719,0,44,12,2,141,14.9695,159.610
5,4346,334,0,85,12,1,141,14.9695,41.402
6,4733,8945,0,81,12,1,141,14.9695,129.049
7,8926,7754,0,33,12,1:2,141,14.9695,32.091
8,19673,4189,0,11,12,2,141,14.9695,79.234
9,22200,7088,0,47,12,2,141,14.9695,539.737
10,3244,1578,0,109,12,1,141,14.9695,1461.907
11,17156,10751,0,43,12,2,141,14.9695,191.837
12,13653,8931,0,50,12,2:1,141,14.9695,41.074
13,8640,6675,0,81,12,1:2,141,14.9695,1112.024
14,21210,4442,0,32,12,2,141,14.9695,257.950
15,9932,10262,0,33,12,1:2,141,14.9695,387.501
16,17444,1312,0,20,12,2,141,14.9695,133.234
17,4497,5338,0,89,12,1,141,14.9695,197.539
18,10178,11312,0,62,12,1:2,141,14.9695,910.363
19,9317,6658,0,11,12,1:2,141,14.9695,64.738
20,12738,11791,0,51,12,2:1,141,14.9695,69.627
21,17117,8369,0,18,12,2,141,14.9695,170.820
22,818,956,0,58,12,1,141,14.9695,429.250
23,14731,11267,0,34,12,2,141,14.9695,396.294
24,9794,3790,0,130,12,1:2,141,14.9695,1180.331
25,10052,2464,0,87,12,1:2,141,14.9695,567.903
26,22907,10226,0,53,12,2,141,14.9695,25.430
27,18475,11689,0,134,12,2,141,14.9695,1772.819
28,8990,6053,0,38,12,1:2,141,14.9695,158.624
29,9910,2869,0,16,12,1:2,141,14.9695,88.300
30,23165,3616,0,4,12,2,141,14.9695,5.794
31,17038,9592,0,51,12,2,141,14.9695,407.675
32,19502,1804,0,141,12,2,141,14.9695,1264.504
33,14670,7776,0,40,12,2:1,141,14.9695,426.627
34,6904,4240,0,43,12,1,141,14.9695,331.273
35,23387,2561,0,8,12,2,141,14.9695,89.723
36,8720,9762,0,17,12,1,141,14.9695,72.264
37,18958,9830,0,137,12,2,141,14.9695,815.504
38,17363,9205,0,137,12,2,141,14.9695,1147.939
39,12371,6204,0,83,12,2:1,141,14.9695,439.651
40,9443,9550,0,6,12,1:2,141,14.9695,15.486
41,10556,4857,0,119,12,1:2,141,14.9695,1092.374
42,15692,2844,0,8,12,2,141,14.9695,47.768
43,2850,11698,0,9,12,1,141,14.9695,2.291
44,5642,9384,0,111,12,1,141,14.9695,556.357
45,9763,7619,0,121,12,1:2,141,14.9695,1088.143
46,11350,11028,0,87,12,1:2,141,14.9695,445.326
47,2910,6211,0,19,12,1,141,14.9695,44.539
48,4198,9946,0,34,12,1,141,14.9695,60.930
49,20717,9277,0,124,12,2,141,14.9695,1308.556
50,20307,6312,0,92,12,2,141,14.9695,423.848
51,15533,8852,0,16,12,2,141,14.9695,11.876
52,14009,10364,0,133,12,2:1,141,14.9695,113.492
53,18178,8887,0,75,12,2,141,14.9695,469.800
54,7547,9905,0,121,12,1,141,14.9695,1087.368
55,5884,2436,0,137,12,1,141,14.9695,854.482
56,19947,9258,0,118,12,2,141,14.9695,104.636
57,8940,11328,0,47,12,1,141,14.9695,559.377
58,23578,6476,0,70,12,2,141,14.9695,20.523
59,11975,9116,0,22,12,2:1,141,14.9695,183.561
60,11651,8427,0,21,12,1:2,141,14.9695,39.275
61,7843,11353,0,53,12,1,141,14.9695,136.019
62,12612,11802,0,91,12,2:1,141,14.9695,204.999
63,16178,6960,0,75,12,2,141,14.9695,154.446
64,18004,6150,0,63,12,2,141,14.9695,443.015
65,2594,3612,0,32,12,1,141,14.9695,9.116
66,18968,9498,0,17,12,2,141,14.9695,26.492
67,4228,8054,0,130,12,1,141,14.9695,44.984
68,15715,6693,0,134,12,2,141,14.9695,1187.632
69,6091,2573,0,44,12,1,141,14.9695,403.916
70,10623,3199,0,51,12,1:2,141,14.9695,120.456
71,13973,5422,0,37,12,2:1,141,14.9695,30.669
72,4466,7989,0,114,12,1,141,14.9695,1483.984
73,21107,11857,0,10,12,2,141,14.9695,67.738
74,11227,6686,0,11,12,1:2,141,14.9695,85.754
75,958,8862,0,127,12,1,141,14.9695,1773.496
76,14426,7685,0,71,12,2:1,141,14.9695,395.828
77,8209,6348,0,128,12,1:2,141,14.9695,636.182
78,16793,10697,0,31,12,2,141,14.9695,396.381
79,4154,8111,0,87,12,1,141,14.9695,429.370
80,12170,10289,0,89,12,2:1,141,14.9695,856.851
81,3760,9743,0,17,12,1,141,14.9695,50.123
82,18152,3891,0,104,12,2,141,14.9695,948.971
83,20272,2181,0,32,12,2,141,14.9695,78.747
84,16568,11459,0,20,12,2,141,14.9695,267.703
85,13275,7432,0,89,12,2:1,141,14.9695,601.720
86,16181,6264,0,61,12,2,141,14.9695,880.573
87,3030,5948,0,60,12,1,141,14.9695,720.522
88,6129,7406,0,86,12,1,141,14.9695,616.057
89,20585,5982,0,113,12,2,141,14.9695,1387.911
90,14763,11995,0,50,12,2,141,14.9695,689.614
91,4582,9435,0,132,12,1,141,14.9695,889.153
92,23430,7131,0,15,12,2,141,14.9695,105.560
93,14850,8476,0,73,12,2,141,14.9695,995.442
94,1833,5772,0,93,12,1,141,14.9695,846.256
95,17623,2680,0,103,12,2,141,14.9695,1511.624
96,17665,11264,0,23,12,2,141,14.9695,224.512
97,6111,4589,0,68,12,1,141,14.9695,919.767
98,12613,3713,0,130,12,2:1,141,14.9695,108.025
99,12997,7863,0,134,12,2:1,141,14.9695,50.055
100,1132,5626,0,75,12,1,141,14.9695,651.057
101,23237,4011,0,25,12,2,141,14.9695,219.995
102,18139,10350,0,104,12,2,141,14.9695,971.498
103,4260,3194,0,83,12,1,141,14.9695,537.180
104,3673,11927,0,73,12,1,141,14.9695,190.841
105,18390,6215,0,27,12,2,141,14.9695,305.845
106,20123,9602,0,7,12,2,141,14.9695,50.355
107,17729,680,0,105,12,2,141,14.9695,967.009
108,11021,10404,0,28,12,1:2,141,14.9695,243.964
109,19946,2862,0,76,12,2,141,14.9695,194.807
110,22120,7153,0,90,12,2,141,14.9695,503.826
111,16463,10767,0,99,12,2,141,14.9695,558.228
112,986,2583,0,42,12,1,141,14.9695,208.242
113,6561,8398,0,108,12,1,141,14.9695,137.324
114,9875,10681,0,92,12,1:2,141,14.9695,1208.616
115,5816,10233,0,49,12,1,141,14.9695,579.554
116,20292,6879,0,49,12,2,141,14.9695,610.906
117,21350,6158,0,130,12,2,141,14.9695,470.208
118,9992,8329,0,64,12,1:2,141,14.9695,829.125
119,10524,3828,0,58,12,1:2,141,14.9695,603.542
120,11058,7303,0,17,12,1:2,141,14.9695,206.445
121,20640,11785,0,121,12,2,141,14.9695,1113.689
122,19684,4356,0,122,12,2,141,14.9695,1234.623
123,18725,6174,0,54,12,2,141,14.9695,614.202
124,12288,2876,0,109,12,2:1,141,14.9695,498.772
125,23520,8479,0,36,12,2,141,14.9695,163.352
126,12397,10715,0,57,12,2:1,141,14.9695,145.117
127,14609,2793,0,88,12,2,141,14.9695,465.158
128,9877,10824,0,44,12,1:2,141,14.9695,266.384
129,4373,4347,0,99,12,1,141,14.9695,475.456
130,13215,11760,0,106,12,2,141,14.9695,367.654
131,14548,895,0,43,12,2,141,14.9695,73.411
132,18075,673,0,92,12,2,141,14.9695,156.091
133,3613,2823,0,133,12,1,141,14.9695,1075.006
134,16157,6175,0,11,12,2,141,14.9695,71.809
135,12330,4769,0,102,12,2:1,141,14.9695,1430.250
136,21431,6082,0,95,12,2,141,14.9695,455.135
137,3280,3635,0,69,12,1,141,14.9695,970.366
138,17561,3058,0,109,12,2,141,14.9695,1217.948
139,17553,929,0,94,12,2,141,14.9695,332.550
140,19778,5037,0,35,12,2,141,14.9695,65.076
141,22635,2153,0,62,12,2,141,14.9695,843.711
142,14774,6183,0,44,12,2:1,141,14.9695,432.207
143,2329,10087,0,98,12,1,141,14.9695,784.623
144,21773,5281,0,40,12,2,141,14.9695,296.184
145,18435,3418,0,43,12,2,141,14.9695,421.797
146,16403,10667,0,6,12,2,141,14.9695,8.389
147,1027,5627,0,106,12,1,141,14.9695,1414.034
148,20230,7623,0,82,12,2,141,14.9695,433.933
149,2023,2771,0,21,12,1,141,14.9695,292.426
150,10473,1910,0,81,12,1:2,141,14.9695,399.328
151,23123,8867,0,60,12,2,141,14.9695,394.162
152,15052,8365,0,78,12,2,141,14.9695,292.289
153,14733,8683,0,55,12,2,141,14.9695,3.798
154,8613,1829,0,50,12,1,141,14.9695,1.800
155,3656,2784,0,104,12,1,141,14.9695,162.138
156,4475,3082,0,55,12,1,141,14.9695,161.284
157,6884,8133,0,34,12,1,141,14.9695,156.745
158,8610,1868,0,40,12,1,141,14.9695,404.431
159,8659,4150,0,131,12,1:2,141,14.9695,1760.744
160,7176,10394,0,118,12,1,141,14.9695,76.090
161,13399,3314,0,33,12,2:1,141,14.9695,23.068
162,7972,11662,0,124,12,1,141,14.9695,1459.012
163,9044,912,0,89,12,1,141,14.9695,858.186
164,15855,4470,0,8,12,2,141,14.9695,95.627
165,13742,8725,0,112,12,2:1,141,14.9695,733.190
166,773,10256,0,88,12,1,141,14.9695,631.505
167,5220,9976,0,31,12,1,141,14.9695,120.013
168,915,2842,0,134,12,1,141,14.9695,1660.029
169,613,9750,0,16,12,1,141,14.9695,150.660
170,19233,3714,0,3,12,2,141,14.9695,24.172
171,22802,9827,0,104,12,2,141,14.9695,273.720
172,19696,5381,0,2,12,2,141,14.9695,3.399
173,20244,6317,0,120,12,2,141,14.9695,324.583
174,8154,11428,0,92,12,1,141,14.9695,150.098
175,14064,11852,0,24,12,2,141,14.9695,342.565
176,23179,2150,0,97,12,2,141,14.9695,658.939
177,8223,7554,0,51,12,1,141,14.9695,461.145
178,10962,3841,0,133,12,1:2,141,14.9695,459.878
179,10847,10371,0,29,12,1:2,141,14.9695,245.628
180,14900,4258,0,24,12,2:1,141,14.9695,17.816
181,9135,7666,0,34,12,1:2,141,14.9695,83.663
182,18312,4593,0,79,12,2,141,14.9695,417.451
183,367,7999,0,23,12,1,141,14.9695,185.547
184,7626,11947,0,105,12,1,141,14.9695,809.233
185,13638,11446,0,9,12,2,141,14.9695,79.310
186,15454,1563,0,85,12,2,141,14.9695,1234.188
187,16213,10664,0,21,12,2,141,14.9695,87.179
188,15583,1578,0,93,12,2,141,14.9695,415.439
189,10709,487,0,78,12,1:2,141,14.9695,697.178
190,10073,9981,0,113,12,1:2,141,14.9695,1574.611
191,10599,6718,0,86,12,1:2,141,14.9695,103.640
192,21485,8899,0,99,12,2,141,14.9695,666.080
193,1536,9974,0,95,12,1,141,14.9695,304.500
194,4153,10281,0,38,12,1,141,14.9695,60.039
195,19063,10771,0,140,12,2,141,14.9695,87.376
196,11727,10043,0,27,12,1:2,141,14.9695,252.298
197,21862,11104,0,114,12,2,141,14.9695,1448.382
198,8948,6508,0,24,12,1:2,141,14.9695,339.342
199,1244,11954,0,127,12,1,141,14.9695,1505.958
200,13674,5183,0,132,12,2:1,141,14.9695,24.322
