deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
58,0,1,2,1.387,1.387,0,4.01663,689.984,685.9673700000001,1,2,2:4,1,2,4,1,0,1,1.387,3:4,81:81:3,2
76,1,1,7,1.939,1.939,0,4.56863,690.536,685.96737,1,,4:3,0,2,4:3,2,0,0,1.939,2:5:2:5,35:35:96:35:35:96,2
35,2,1,7,2.541,2.541,0,5.17063,691.138,685.9673700000001,1,,3:4,0,2,3:4,2,0,0,2.541,1:5:1:5,76:76:96:76:76:96,2
81,3,1,34,3.083,3.083,0,5.71263,691.68,685.96737,1,3,3:4,1,2,4,1,0,1,3.083,0:4:6,58:58:3:45:45,2
3,4,1,6,3.226,3.226,0,5.85563,691.823,685.96737,1,,2,0,1,2,1,0,0,3.226,0:3:6,58:58:81:81:45:45,2
96,5,1,39,4.008,4.008,0,6.63763,692.605,685.9673700000001,1,3,3,1,1,,0,0,1,4.008,,,0
45,6,1,14,4.666,4.666,0,7.29563,693.263,685.9673700000001,1,2,2:4,1,2,4,1,0,1,4.666,3:4,81:81:3,2
87,7,1,2,6.83,6.83,0,9.45963,695.427,685.9673700000001,1,,1,0,1,1,1,0,0,6.83,9,97,2
8,8,1,20,7.667,7.667,0,10.2966,696.264,685.9674,1,,3,0,1,3,1,0,0,7.667,10,73:73,2
97,9,1,17,8.014,8.014,0,10.6436,696.611,685.9674,1,1,1,1,1,,0,0,1,8.014,,,0
73,10,1,2,8.11,8.11,0,10.7396,696.707,685.9674,1,3:1,3:1,2,2,,0,0,1,8.11,,,0
93,11,1,2,8.294,8.294,0,10.9236,696.891,685.9674,1,1,1,1,1,,0,0,1,8.294,,,0
29,12,1,46,12.472,12.472,0,15.1016,701.069,685.9674,1,1:3,1:3,2,2,,0,0,1,12.472,,,0
64,13,1,3,19.991,19.991,0,22.6206,708.588,685.9674,1,3,3,1,1,,0,0,1,19.991,,,0
39,14,1,24,23.569,23.569,0,26.1986,712.166,685.9674,1,1:2,1:2,2,2,,0,0,1,23.569,,,0
65,15,1,4,23.617,23.617,0,26.2466,712.214,685.9674,1,3,3,1,1,,0,0,1,23.617,,,0
66,16,1,18,25.143,25.143,0,27.7726,713.74,685.9674,1,1,1,1,1,,0,0,1,25.143,,,0
37,17,1,18,27.129,27.129,0,29.7586,715.726,685.9674,1,3,3:1,1,2,1,1,0,1,27.129,16,66,2
5,18,1,17,36.562,36.562,0,39.1916,725.159,685.9674,1,2:4,2:4,2,2,,0,0,1,36.562,,,0
80,19,1,9,36.941,36.941,0,39.5706,725.538,685.9674,1,2,2,1,1,,0,0,1,36.941,,,0
33,20,1,12,39.113,39.113,0,41.7426,727.71,685.9674,1,,2,0,1,2,1,0,0,39.113,18,5:5,2
84,21,1,13,40.479,40.479,0,43.1086,729.076,685.9674,1,1,1,1,1,,0,0,1,40.479,,,0
56,22,1,7,42.95,42.95,0,45.5796,731.547,685.9674,1,4:2,4:2,2,2,,0,0,1,42.95,,,0
32,23,1,4,45.124,45.124,0,47.7536,733.721,685.9674,1,1,1,1,1,,0,0,1,45.124,,,0
67,24,1,10,47.58,47.58,0,50.2096,736.177,685.9674,1,2:4,2:4,2,2,,0,0,1,47.58,,,0
25,25,1,9,48.602,48.602,0,51.2316,737.199,685.9674,1,4,4,1,1,,0,0,1,48.602,,,0
