id,x,y,z,deadline,sf,gateways,windowlength,slotlength
1,20527,7996,0,73,12,2:4,95,14.9695
2,8406,15208,0,83,12,3:4,95,14.9695
3,13399,18870,0,44,12,4:3,95,14.9695
4,10237,1797,0,47,12,1:2,95,14.9695
5,14748,8895,0,4,12,2:4,95,14.9695
6,14208,15680,0,50,12,4:3,95,14.9695
7,17707,6978,0,85,12,2:4,95,14.9695
8,14599,7742,0,37,12,2:4:1,95,14.9695
9,10208,11269,0,16,12,1:4:3:2,95,14.9695
10,12078,1024,0,72,12,2:1,95,14.9695
11,19921,10098,0,19,12,2:4,95,14.9695
12,9162,21042,0,54,12,3:4,95,14.9695
13,905,9443,0,90,12,1:3,95,14.9695
14,1686,17973,0,56,12,3,95,14.9695
15,8993,395,0,91,12,1,95,14.9695
16,16034,4078,0,21,12,2,95,14.9695
17,302,17022,0,26,12,3,95,14.9695
18,1781,7446,0,5,12,1,95,14.9695
19,19786,12749,0,24,12,4:2,95,14.9695
20,8921,21849,0,67,12,3,95,14.9695
21,1029,12771,0,9,12,3:1,95,14.9695
22,14106,2970,0,56,12,2:1,95,14.9695
23,15233,19580,0,71,12,4,95,14.9695
24,1635,5288,0,27,12,1,95,14.9695
25,3492,12994,0,48,12,3:1,95,14.9695
26,10256,1348,0,16,12,1:2,95,14.9695
27,20712,2327,0,73,12,2,95,14.9695
28,3806,8510,0,57,12,1:3,95,14.9695
29,11167,7177,0,5,12,1:2,95,14.9695
30,4999,8754,0,11,12,1:3,95,14.9695
31,13902,4128,0,31,12,2:1,95,14.9695
32,11106,16537,0,28,12,4:3,95,14.9695
33,11196,10776,0,87,12,4:1:2:3,95,14.9695
34,20424,12691,0,10,12,4:2,95,14.9695
35,12778,15538,0,65,12,4:3,95,14.9695
36,2027,8375,0,43,12,1:3,95,14.9695
37,20502,19117,0,41,12,4,95,14.9695
38,18003,16100,0,27,12,4,95,14.9695
39,13029,4152,0,12,12,2:1,95,14.9695
40,20081,15371,0,56,12,4,95,14.9695
41,16788,20467,0,75,12,4,95,14.9695
42,16486,19093,0,72,12,4,95,14.9695
43,10103,9792,0,67,12,1:4:3:2,95,14.9695
44,10836,4653,0,79,12,1:2,95,14.9695
45,10179,9263,0,92,12,1:2:4:3,95,14.9695
46,7085,16775,0,84,12,3:4,95,14.9695
47,4075,16757,0,83,12,3,95,14.9695
48,4403,17629,0,54,12,3,95,14.9695
49,13647,21093,0,61,12,4,95,14.9695
50,20091,5030,0,50,12,2,95,14.9695
51,6935,63,0,73,12,1,95,14.9695
52,5282,6306,0,84,12,1,95,14.9695
53,13211,18200,0,87,12,4:3,95,14.9695
54,3500,20202,0,4,12,3,95,14.9695
55,1409,5346,0,56,12,1,95,14.9695
56,12816,9640,0,71,12,2:4:1,95,14.9695
57,17637,8147,0,33,12,2:4,95,14.9695
58,4782,7662,0,89,12,1:3,95,14.9695
59,19551,6207,0,78,12,2,95,14.9695
60,9063,14527,0,6,12,3:4:1,95,14.9695
61,19827,10234,0,34,12,2:4,95,14.9695
62,6707,4322,0,73,12,1,95,14.9695
63,4472,1987,0,37,12,1,95,14.9695
64,10980,733,0,63,12,1:2,95,14.9695
65,20842,2187,0,42,12,2,95,14.9695
66,4614,7500,0,15,12,1:3,95,14.9695
67,4514,16511,0,25,12,3,95,14.9695
68,6890,19153,0,15,12,3,95,14.9695
69,1674,17649,0,90,12,3,95,14.9695
70,7054,2501,0,46,12,1,95,14.9695
71,6492,9159,0,20,12,1:3,95,14.9695
72,9710,21622,0,67,12,3:4,95,14.9695
73,4120,17266,0,18,12,3,95,14.9695
74,121,14316,0,68,12,3,95,14.9695
75,3036,4034,0,72,12,1,95,14.9695
76,8365,12321,0,52,12,3:1:4,95,14.9695
77,14004,6953,0,16,12,2:1:4,95,14.9695
78,9735,3424,0,70,12,1:2,95,14.9695
79,6052,15020,0,40,12,3:1,95,14.9695
80,7625,1260,0,5,12,1,95,14.9695
81,7545,10736,0,33,12,1:3,95,14.9695
82,21148,10769,0,46,12,2:4,95,14.9695
83,19920,9810,0,84,12,2:4,95,14.9695
84,17149,21873,0,86,12,4,95,14.9695
85,17012,9838,0,23,12,2:4,95,14.9695
86,3890,7878,0,63,12,1:3,95,14.9695
87,15206,15959,0,56,12,4,95,14.9695
88,3191,14415,0,62,12,3:1,95,14.9695
89,2383,14300,0,37,12,3:1,95,14.9695
90,18058,10931,0,11,12,2:4,95,14.9695
91,9660,309,0,89,12,1,95,14.9695
92,1990,3374,0,34,12,1,95,14.9695
93,1722,7987,0,18,12,1,95,14.9695
94,13231,21428,0,52,12,4,95,14.9695
95,6306,18169,0,4,12,3,95,14.9695
96,10651,21102,0,38,12,3:4,95,14.9695
97,12570,17977,0,25,12,4:3,95,14.9695
98,5482,5549,0,35,12,1,95,14.9695
99,886,4756,0,34,12,1,95,14.9695
100,1409,1978,0,83,12,1,95,14.9695
101,6290,2867,0,75,12,1,95,14.9695
102,20685,11672,0,63,12,4:2,95,14.9695
103,20104,1485,0,23,12,2,95,14.9695
104,11445,7365,0,72,12,1:2,95,14.9695
105,4293,2683,0,24,12,1,95,14.9695
106,12907,14373,0,19,12,4:3,95,14.9695
107,6998,13913,0,5,12,3:1:4,95,14.9695
108,20845,11943,0,24,12,4:2,95,14.9695
109,17168,8809,0,76,12,2:4,95,14.9695
110,20951,19276,0,46,12,4,95,14.9695
111,1419,4153,0,9,12,1,95,14.9695
112,16655,3535,0,66,12,2,95,14.9695
113,5194,1384,0,22,12,1,95,14.9695
114,15367,21545,0,93,12,4,95,14.9695
115,9737,18712,0,59,12,3:4,95,14.9695
116,15445,7634,0,17,12,2:4,95,14.9695
117,5416,19588,0,62,12,3,95,14.9695
118,18989,8124,0,29,12,2:4,95,14.9695
119,9883,18274,0,76,12,3:4,95,14.9695
120,15675,12216,0,36,12,4:2,95,14.9695
121,15713,19848,0,16,12,4,95,14.9695
122,1897,13404,0,58,12,3:1,95,14.9695
123,8440,13236,0,14,12,3:4:1,95,14.9695
124,15067,18624,0,8,12,4,95,14.9695
125,3424,835,0,43,12,1,95,14.9695
126,9287,17824,0,82,12,3:4,95,14.9695
127,6366,975,0,51,12,1,95,14.9695
128,6781,13925,0,54,12,3:1:4,95,14.9695
129,4350,18544,0,74,12,3,95,14.9695
130,10108,15248,0,71,12,3:4,95,14.9695
131,13138,710,0,6,12,2:1,95,14.9695
132,12610,3563,0,26,12,2:1,95,14.9695
133,21135,9385,0,36,12,2:4,95,14.9695
134,13649,2373,0,41,12,2:1,95,14.9695
135,13020,19725,0,16,12,4:3,95,14.9695
136,9382,8638,0,32,12,1:2:3,95,14.9695
137,3869,10087,0,91,12,1:3,95,14.9695
138,14247,13112,0,46,12,4:2,95,14.9695
139,21911,12205,0,7,12,4:2,95,14.9695
140,5558,18413,0,66,12,3,95,14.9695
141,10391,13556,0,47,12,4:3:1,95,14.9695
142,12746,1720,0,76,12,2:1,95,14.9695
143,13930,11039,0,14,12,4:2,95,14.9695
144,9478,10488,0,12,12,1:3:4,95,14.9695
145,6434,2526,0,50,12,1,95,14.9695
146,2462,1359,0,6,12,1,95,14.9695
147,21752,4286,0,30,12,2,95,14.9695
148,19763,16968,0,21,12,4,95,14.9695
149,11947,8357,0,61,12,2:1:4,95,14.9695
150,12682,13799,0,35,12,4:3,95,14.9695
151,16768,14154,0,89,12,4:2,95,14.9695
