deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,slot,inteferingPackets,inteferingNodes,collisionType
67,0,1,2,0,0,0,2.62963,14,11.37037,1,4:3,4:3,2,2,,0,0,1,1,,,0
278,1,1,2,0,0,0,2.62963,14,11.37037,1,1:2,1:2,2,2,,0,0,1,1,,,0
33,2,1,3,14,14,0,16.6296,28,11.3704,1,1,1,1,1,,0,0,1,2,,,0
75,3,1,2,14,14,0,16.6296,28,11.3704,1,2,2,1,1,,0,0,1,2,,,0
509,4,1,2,14,14,0,16.6296,28,11.3704,1,4,4,1,1,,0,0,1,2,,,0
556,5,1,3,14,14,0,16.6296,28,11.3704,1,3,3,1,1,,0,0,1,2,,,0
280,6,1,6,28,28,0,30.6296,42,11.3704,1,3,3,1,1,,0,0,1,3,,,0
38,7,1,3,28,28,0,30.6296,42,11.3704,1,2,2:4:1,1,3,4:1,2,0,1,3,6:6,280:280,1
137,8,1,8,42,42,0,44.6296,56,11.370399999999997,1,2:1,2:1,2,2,,0,0,1,4,,,0
756,9,1,3,42,42,0,44.6296,56,11.370399999999997,1,4:3,4:3,2,2,,0,0,1,4,,,0
337,10,1,6,56,56,0,58.6296,70,11.370399999999997,1,3,3,1,1,,0,0,1,5,,,0
543,11,1,8,56,56,0,58.6296,70,11.370399999999997,1,4,4,1,1,,0,0,1,5,,,0
316,12,1,8,56,56,0,58.6296,70,11.370399999999997,1,1:2,1:2,2,2,,0,0,1,5,,,0
159,13,1,11,70,70,0,72.6296,84,11.370400000000004,1,4,4,1,1,,0,0,1,6,,,0
753,14,1,6,70,70,0,72.6296,84,11.370400000000004,1,3,3,1,1,,0,0,1,6,,,0
404,15,1,9,70,70,0,72.6296,84,11.370400000000004,1,2:1,2:1,2,2,,0,0,1,6,,,0
2,16,1,10,84,84,0,86.6296,98,11.370400000000004,1,1:3:4:2,1:3:4:2,4,4,,0,0,1,7,,,0
215,17,1,29,98,98,0,100.63,112,11.370000000000005,1,4,4,1,1,,0,0,1,8,,,0
362,18,1,7,98,98,0,100.63,112,11.370000000000005,1,3,3,1,1,,0,0,1,8,,,0
326,19,1,11,98,98,0,100.63,112,11.370000000000005,1,1,1:2,1,2,2,1,0,1,8,17:18,215:362,1
342,20,1,12,112,112,0,114.63,126,11.370000000000005,1,1,1,1,1,,0,0,1,9,,,0
527,21,1,7,112,112,0,114.63,126,11.370000000000005,1,3,3,1,1,,0,0,1,9,,,0
692,22,1,2,112,112,0,114.63,126,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,9,,,0
732,23,1,13,126,126,0,128.63,140,11.370000000000005,1,1:2:3:4,1:2:3:4,4,4,,0,0,1,10,,,0
89,24,1,3,140,140,0,142.63,154,11.370000000000005,1,2,2,1,1,,0,0,1,11,,,0
735,25,1,14,140,140,0,142.63,154,11.370000000000005,1,1,1,1,1,,0,0,1,11,,,0
338,26,1,10,140,140,0,142.63,154,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,11,,,0
49,27,1,16,154,154,0,156.63,168,11.370000000000005,1,1,1,1,1,,0,0,1,12,,,0
632,28,1,12,154,154,0,156.63,168,11.370000000000005,1,3,3,1,1,,0,0,1,12,,,0
444,29,1,6,154,154,0,156.63,168,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,12,,,0
341,30,1,38,168,168,0,170.63,182,11.370000000000005,1,4,4,1,1,,0,0,1,13,,,0
440,31,1,7,168,168,0,170.63,182,11.370000000000005,1,2,2,1,1,,0,0,1,13,,,0
292,32,1,16,168,168,0,170.63,182,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,13,,,0
405,33,1,7,182,182,0,184.63,196,11.370000000000005,1,4,4:2,1,2,2,1,0,1,14,34,693:693,1
693,34,1,16,182,182,0,184.63,196,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,14,,,0
225,35,1,15,196,196,0,198.63,210,11.370000000000005,1,3,3,1,1,,0,0,1,15,,,0
410,36,1,17,196,196,0,198.63,210,11.370000000000005,1,2:1,2:1:4,2,3,4,1,0,1,15,35,225,1
639,37,1,9,210,210,0,212.63,224,11.370000000000005,1,2,2,1,1,,0,0,1,16,,,0
104,38,1,18,210,210,0,212.63,224,11.370000000000005,1,3:1:4,3:1:4,3,3,,0,0,1,16,,,0
285,39,1,21,224,224,0,226.63,238,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,17,,,0
539,40,1,13,224,224,0,226.63,238,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,17,,,0
769,41,1,9,238,238,0,240.63,252,11.370000000000005,1,2,2,1,1,,0,0,1,18,,,0
424,42,1,21,238,238,0,240.63,252,11.370000000000005,1,1:3:4,1:3:4,3,3,,0,0,1,18,,,0
307,43,1,11,252,252,0,254.63,266,11.370000000000005,1,2,2,1,1,,0,0,1,19,,,0
358,44,1,38,252,252,0,254.63,266,11.370000000000005,1,4,4,1,1,,0,0,1,19,,,0
560,45,1,21,252,252,0,254.63,266,11.370000000000005,1,3:1,3:1,2,2,,0,0,1,19,,,0
247,46,1,14,266,266,0,268.63,280,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,20,,,0
382,47,1,22,266,266,0,268.63,280,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,20,,,0
116,48,1,24,280,280,0,282.63,294,11.370000000000005,1,3,3,1,1,,0,0,1,21,,,0
740,49,1,22,280,280,0,282.63,294,11.370000000000005,1,2:1:4,2:1:4,3,3,,0,0,1,21,,,0
248,50,1,25,294,294,0,296.63,308,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,22,,,0
624,51,1,14,294,294,0,296.63,308,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,22,,,0
51,52,1,23,308,308,0,310.63,322,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,23,,,0
576,53,1,29,308,308,0,310.63,322,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,23,,,0
303,54,1,30,322,322,0,324.63,336,11.370000000000005,1,1,1,1,1,,0,0,1,24,,,0
696,55,1,27,322,322,0,324.63,336,11.370000000000005,1,3,3,1,1,,0,0,1,24,,,0
655,56,1,13,322,322,0,324.63,336,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,24,,,0
73,57,1,17,336,336,0,338.63,350,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,25,,,0
400,58,1,30,336,336,0,338.63,350,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,25,,,0
19,59,1,24,350,350,0,352.63,364,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,26,,,0
578,60,1,30,350,350,0,352.63,364,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,26,,,0
188,61,1,18,364,364,0,366.63,378,11.370000000000005,1,4,4:2,1,2,2,1,0,1,27,62,398:398,1
398,62,1,31,364,364,0,366.63,378,11.370000000000005,1,1,1:3,1,2,3,1,0,1,27,61,188:188,1
435,63,1,23,378,378,0,380.63,392,11.370000000000005,1,2,2,1,1,,0,0,1,28,,,0
583,64,1,31,378,378,0,380.63,392,11.370000000000005,1,3:4:1,3:4:1,3,3,,0,0,1,28,,,0
57,65,1,41,392,392,0,394.63,406,11.370000000000005,1,4,4,1,1,,0,0,1,29,,,0
783,66,1,39,392,392,0,394.63,406,11.370000000000005,1,3,3,1,1,,0,0,1,29,,,0
659,67,1,33,392,392,0,394.63,406,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,29,,,0
336,68,1,34,406,406,0,408.63,420,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,30,,,0
484,69,1,20,406,406,0,408.63,420,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,30,,,0
390,70,1,40,420,420,0,422.63,434,11.370000000000005,1,3,3,1,1,,0,0,1,31,,,0
149,71,1,37,420,420,0,422.63,434,11.370000000000005,1,2:4:1,2:4:1,3,3,,0,0,1,31,,,0
91,72,1,38,434,434,0,436.63,448,11.370000000000005,1,1,1,1,1,,0,0,1,32,,,0
757,73,1,23,434,434,0,436.63,448,11.370000000000005,1,2,2,1,1,,0,0,1,32,,,0
457,74,1,40,434,434,0,436.63,448,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,32,,,0
357,75,1,38,448,448,0,450.63,462,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,33,,,0
618,76,1,26,448,448,0,450.63,462,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,33,,,0
609,77,1,39,462,462,0,464.63,476,11.370000000000005,1,1,1,1,1,,0,0,1,34,,,0
695,78,1,45,462,462,0,464.63,476,11.370000000000005,1,3,3,1,1,,0,0,1,34,,,0
204,79,1,28,462,462,0,464.63,476,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,34,,,0
128,80,1,39,476,476,0,478.63,490,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,35,,,0
662,81,1,41,476,476,0,478.63,490,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,35,,,0
574,82,1,29,490,490,0,492.63,504,11.370000000000005,1,2,2,1,1,,0,0,1,36,,,0
713,83,1,40,490,490,0,492.63,504,11.370000000000005,1,1,1,1,1,,0,0,1,36,,,0
594,84,1,45,490,490,0,492.63,504,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,36,,,0
411,85,1,41,504,504,0,506.63,518,11.370000000000005,1,1,1,1,1,,0,0,1,37,,,0
419,86,1,58,504,504,0,506.63,518,11.370000000000005,1,3,3,1,1,,0,0,1,37,,,0
150,87,1,29,504,504,0,506.63,518,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,37,,,0
240,88,1,48,518,518,0,520.63,532,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,38,,,0
600,89,1,41,518,518,0,520.63,532,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,38,,,0
249,90,1,35,532,532,0,534.63,546,11.370000000000005,1,2,2,1,1,,0,0,1,39,,,0
306,91,1,43,532,532,0,534.63,546,11.370000000000005,1,1,1,1,1,,0,0,1,39,,,0
339,92,1,50,532,532,0,534.63,546,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,39,,,0
65,93,1,62,546,546,0,548.63,560,11.370000000000005,1,3,3,1,1,,0,0,1,40,,,0
698,94,1,43,546,546,0,548.63,560,11.370000000000005,1,1,1,1,1,,0,0,1,40,,,0
230,95,1,36,546,546,0,548.63,560,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,40,,,0
153,96,1,63,560,560,0,562.63,574,11.370000000000005,1,3,3,1,1,,0,0,1,41,,,0
573,97,1,44,560,560,0,562.63,574,11.370000000000005,1,1,1,1,1,,0,0,1,41,,,0
579,98,1,38,560,560,0,562.63,574,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,41,,,0
464,99,1,44,574,574,0,576.63,588,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,42,,,0
653,100,1,51,574,574,0,576.63,588,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,42,,,0
115,101,1,46,588,588,0,590.63,602,11.370000000000005,1,1,1,1,1,,0,0,1,43,,,0
394,102,1,41,588,588,0,590.63,602,11.370000000000005,1,2,2,1,1,,0,0,1,43,,,0
364,103,1,56,588,588,0,590.63,602,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,43,,,0
708,104,1,63,602,602,0,604.63,616,11.370000000000005,1,3,3,1,1,,0,0,1,44,,,0
733,105,1,46,602,602,0,604.63,616,11.370000000000005,1,1,1,1,1,,0,0,1,44,,,0
547,106,1,43,602,602,0,604.63,616,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,44,,,0
134,107,1,46,616,616,0,618.63,630,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,45,,,0
507,108,1,45,616,616,0,618.63,630,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,45,,,0
62,109,1,69,630,630,0,632.63,644,11.370000000000005,1,3,3,1,1,,0,0,1,46,,,0
436,110,1,46,630,630,0,632.63,644,11.370000000000005,1,4:2,4:2:1,2,3,1,1,0,1,46,109,62,1
184,111,1,61,644,644,0,646.63,658,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,47,,,0
605,112,1,46,644,644,0,646.63,658,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,47,,,0
772,113,1,78,658,658,0,660.63,672,11.370000000000005,1,3,3,1,1,,0,0,1,48,,,0
630,114,1,46,658,658,0,660.63,672,11.370000000000005,1,1:2,1:2:4,2,3,4,1,0,1,48,113,772,1
180,115,1,53,672,672,0,674.63,686,11.370000000000005,1,2,2,1,1,,0,0,1,49,,,0
386,116,1,47,672,672,0,674.63,686,11.370000000000005,1,1,1,1,1,,0,0,1,49,,,0
329,117,1,61,672,672,0,674.63,686,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,49,,,0
139,118,1,57,686,686,0,688.63,700,11.370000000000005,1,2,2,1,1,,0,0,1,50,,,0
182,119,1,47,686,686,0,688.63,700,11.370000000000005,1,3:4,3:4:1,2,3,1,1,0,1,50,118,139,1
172,120,1,69,700,700,0,702.63,714,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,51,,,0
635,121,1,51,700,700,0,702.63,714,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,51,,,0
219,122,1,55,714,714,0,716.63,728,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,52,,,0
654,123,1,51,714,714,0,716.63,728,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,52,,,0
147,124,1,59,728,728,0,730.63,742,11.370000000000005,1,2,2,1,1,,0,0,1,53,,,0
565,125,1,51,728,728,0,730.63,742,11.370000000000005,1,4,4,1,1,,0,0,1,53,,,0
345,126,1,54,728,728,0,730.63,742,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,53,,,0
56,127,1,83,742,742,0,744.63,756,11.370000000000005,1,3,3,1,1,,0,0,1,54,,,0
628,128,1,55,742,742,0,744.63,756,11.370000000000005,1,1,1,1,1,,0,0,1,54,,,0
774,129,1,60,742,742,0,744.63,756,11.370000000000005,1,2,2:4,1,2,4,1,0,1,54,127,56,1
510,130,1,56,756,756,0,758.63,770,11.370000000000005,1,1,1,1,1,,0,0,1,55,,,0
720,131,1,62,756,756,0,758.63,770,11.370000000000005,1,2,2,1,1,,0,0,1,55,,,0
245,132,1,73,756,756,0,758.63,770,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,55,,,0
486,133,1,56,770,770,0,772.63,784,11.370000000000005,1,4:1:3:2,4:1:3:2,4,4,,0,0,1,56,,,0
584,134,1,84,784,784,0,786.63,798,11.370000000000005,1,3,3,1,1,,0,0,1,57,,,0
647,135,1,56,784,784,0,786.63,798,11.370000000000005,1,1:2:4,1:2:4,3,3,,0,0,1,57,,,0
375,136,1,58,798,798,0,800.63,812,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,58,,,0
445,137,1,75,798,798,0,800.63,812,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,58,,,0
226,138,1,64,812,812,0,814.63,826,11.370000000000005,1,2,2,1,1,,0,0,1,59,,,0
454,139,1,60,812,812,0,814.63,826,11.370000000000005,1,4,4,1,1,,0,0,1,59,,,0
471,140,1,58,812,812,0,814.63,826,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,59,,,0
356,141,1,68,826,826,0,828.63,840,11.370000000000005,1,4,4,1,1,,0,0,1,60,,,0
376,142,1,69,826,826,0,828.63,840,11.370000000000005,1,2,2,1,1,,0,0,1,60,,,0
114,143,1,60,826,826,0,828.63,840,11.370000000000005,1,3:1,3:1,2,2,,0,0,1,60,,,0
132,144,1,69,840,840,0,842.63,854,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,61,,,0
468,145,1,60,840,840,0,842.63,854,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,61,,,0
534,146,1,77,854,854,0,856.63,868,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,62,,,0
611,147,1,61,854,854,0,856.63,868,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,62,,,0
107,148,1,62,868,868,0,870.63,882,11.370000000000005,1,1,1,1,1,,0,0,1,63,,,0
425,149,1,97,868,868,0,870.63,882,11.370000000000005,1,3,3,1,1,,0,0,1,63,,,0
20,150,1,70,868,868,0,870.63,882,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,63,,,0
195,151,1,72,882,882,0,884.63,896,11.370000000000005,1,2,2,1,1,,0,0,1,64,,,0
640,152,1,62,882,882,0,884.63,896,11.370000000000005,1,1,1,1,1,,0,0,1,64,,,0
335,153,1,80,882,882,0,884.63,896,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,64,,,0
707,154,1,78,896,896,0,898.63,910,11.370000000000005,1,2,2,1,1,,0,0,1,65,,,0
290,155,1,62,896,896,0,898.63,910,11.370000000000005,1,3:4:1,3:4:1,3,3,,0,0,1,65,,,0
531,156,1,99,910,910,0,912.63,924,11.370000000000005,1,3,3,1,1,,0,0,1,66,,,0
764,157,1,63,910,910,0,912.63,924,11.370000000000005,1,1,1,1,1,,0,0,1,66,,,0
648,158,1,73,910,910,0,912.63,924,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,66,,,0
23,159,1,101,924,924,0,926.63,938,11.370000000000005,1,3,3,1,1,,0,0,1,67,,,0
84,160,1,64,924,924,0,926.63,938,11.370000000000005,1,1,1,1,1,,0,0,1,67,,,0
450,161,1,80,924,924,0,926.63,938,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,67,,,0
237,162,1,82,938,938,0,940.63,952,11.370000000000005,1,2,2,1,1,,0,0,1,68,,,0
511,163,1,64,938,938,0,940.63,952,11.370000000000005,1,1,1,1,1,,0,0,1,68,,,0
422,164,1,80,938,938,0,940.63,952,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,68,,,0
380,165,1,70,952,952,0,954.63,966,11.370000000000005,1,4,4,1,1,,0,0,1,69,,,0
796,166,1,82,952,952,0,954.63,966,11.370000000000005,1,2,2,1,1,,0,0,1,69,,,0
360,167,1,64,952,952,0,954.63,966,11.370000000000005,1,3:1,3:1,2,2,,0,0,1,69,,,0
138,168,1,85,966,966,0,968.63,980,11.370000000000005,1,2,2,1,1,,0,0,1,70,,,0
276,169,1,72,966,966,0,968.63,980,11.370000000000005,1,4,4,1,1,,0,0,1,70,,,0
243,170,1,70,966,966,0,968.63,980,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,70,,,0
12,171,1,71,980,980,0,982.63,994,11.370000000000005,1,1,1,1,1,,0,0,1,71,,,0
517,172,1,85,980,980,0,982.63,994,11.370000000000005,1,2,2,1,1,,0,0,1,71,,,0
102,173,1,82,980,980,0,982.63,994,11.370000000000005,1,3,3:4,1,2,4,1,0,1,71,171:172,12:517,1
315,174,1,88,994,994,0,996.63,1008,11.370000000000005,1,2,2,1,1,,0,0,1,72,,,0
703,175,1,73,994,994,0,996.63,1008,11.370000000000005,1,1,1,1,1,,0,0,1,72,,,0
479,176,1,87,994,994,0,996.63,1008,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,72,,,0
10,177,1,88,1008,1008,0,1010.63,1022,11.370000000000005,1,3,3:4,1,2,4,1,0,1,73,178,35:35,1
35,178,1,73,1008,1008,0,1010.63,1022,11.370000000000005,1,2,2:1,1,2,1,1,0,1,73,177,10:10,1
293,179,1,73,1022,1022,0,1024.63,1036,11.36999999999989,1,2:1,2:1,2,2,,0,0,1,74,,,0
700,180,1,93,1022,1022,0,1024.63,1036,11.36999999999989,1,3:4,3:4,2,2,,0,0,1,74,,,0
645,181,1,77,1036,1036,0,1038.63,1050,11.36999999999989,1,4,4,1,1,,0,0,1,75,,,0
723,182,1,89,1036,1036,0,1038.63,1050,11.36999999999989,1,2,2,1,1,,0,0,1,75,,,0
389,183,1,75,1036,1036,0,1038.63,1050,11.36999999999989,1,3:1,3:1,2,2,,0,0,1,75,,,0
